iter	Passed	Remaining
354	1811	3290
355	1820	3293
356	1823	3283
357	1826	3276
358	1829	3266
359	1838	3267
360	1841	3259
361	1847	3255
362	1850	3247
363	1852	3236
364	1854	3226
365	1857	3217
366	1866	3218
367	1870	3212
368	1874	3205
369	1877	3197
370	1880	3188
371	1891	3193
372	1894	3184
373	1900	3180
374	1913	3189
375	1918	3183
376	1921	3175
377	1940	3193
378	1943	3184
379	1946	3175
380	1949	3167
381	1951	3157
382	1956	3151
383	1970	3160
384	1972	3151
385	1992	3169
386	1995	3160
387	2031	3204
388	2035	3197
389	2038	3187
390	2041	3179
391	2050	3180
392	2057	3177
393	2060	3169
394	2116	3242
395	2119	3233
396	2122	3224
397	2132	3225
398	2135	3216
399	2138	3207
400	2141	3198
401	2143	3188
402	2155	3192
403	2158	3184
404	2178	3200
405	2181	3191
406	2193	3195
407	2201	3194
408	2205	3186
409	2210	3180
410	2213	3172
411	2217	3164
412	2221	3157
413	2224	3148
414	2227	3139
415	2229	3130
416	2232	3120
417	2234	3111
418	2250	3120
419	2253	3112
420	2257	3104
421	2259	3095
